model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-4,100,2.5e-05,1024,0.5244,0.5393,0.5244,0.5287,0.39,0.0694,0.0132,0.003,0.9144,0.9838,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL1-5,100,2.5e-05,1024,0.531,0.5455,0.531,0.5352,0.3862,0.067,0.0122,0.0036,0.9172,0.9842,0.9964
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-1,100,0.0001,1024,0.5184,0.5504,0.5184,0.5247,0.404,0.0632,0.012,0.0024,0.9224,0.9856,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-2,100,0.0001,1024,0.5264,0.5504,0.5264,0.5325,0.3944,0.0654,0.0114,0.0024,0.9208,0.9862,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-3,100,0.0001,1024,0.5184,0.5466,0.5184,0.5252,0.404,0.0638,0.0118,0.002,0.9224,0.9862,0.998
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-4,100,0.0001,1024,0.517,0.5438,0.517,0.5237,0.4026,0.0666,0.0114,0.0024,0.9196,0.9862,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-5,100,0.0001,1024,0.5206,0.5467,0.5206,0.5271,0.4018,0.0646,0.0102,0.0028,0.9224,0.987,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-1,100,1e-05,1024,0.519,0.5432,0.519,0.5246,0.3994,0.0682,0.011,0.0024,0.9184,0.9866,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-2,100,1e-05,1024,0.5208,0.5433,0.5208,0.5272,0.3972,0.0686,0.0102,0.0032,0.918,0.9866,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-3,100,1e-05,1024,0.5136,0.5359,0.5136,0.5198,0.4044,0.0676,0.012,0.0024,0.918,0.9856,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-4,100,1e-05,1024,0.5168,0.5388,0.5168,0.5228,0.3986,0.07,0.0126,0.002,0.9154,0.9854,0.998
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-5,100,1e-05,1024,0.5166,0.5399,0.5166,0.5226,0.4038,0.0654,0.0112,0.003,0.9204,0.9858,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-1,100,7.5e-05,1024,0.5228,0.5515,0.5228,0.53,0.3986,0.0648,0.0118,0.002,0.9214,0.9862,0.998
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-2,100,7.5e-05,1024,0.5254,0.5475,0.5254,0.531,0.3954,0.0652,0.0108,0.0032,0.9208,0.986,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-3,100,7.5e-05,1024,0.516,0.5468,0.516,0.5237,0.4046,0.0642,0.0122,0.003,0.9206,0.9848,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-4,100,7.5e-05,1024,0.5244,0.548,0.5244,0.5305,0.3934,0.0678,0.0118,0.0026,0.9178,0.9856,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-5,100,7.5e-05,1024,0.5136,0.5436,0.5136,0.5206,0.409,0.064,0.011,0.0024,0.9226,0.9866,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-1,100,5e-05,1024,0.5312,0.5491,0.5312,0.5357,0.386,0.0676,0.0126,0.0026,0.9172,0.9848,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-2,100,5e-05,1024,0.5276,0.5504,0.5276,0.5338,0.3924,0.0666,0.0102,0.0032,0.92,0.9866,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-3,100,5e-05,1024,0.526,0.5498,0.526,0.5324,0.3918,0.0676,0.0118,0.0028,0.9178,0.9854,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-4,100,5e-05,1024,0.5194,0.5433,0.5194,0.526,0.3978,0.0676,0.0128,0.0024,0.9172,0.9848,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-5,100,5e-05,1024,0.5266,0.5466,0.5266,0.5319,0.3934,0.0654,0.0114,0.0032,0.92,0.9854,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-1,100,2.5e-05,1024,0.5288,0.5532,0.5288,0.5346,0.3912,0.0656,0.012,0.0024,0.92,0.9856,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-2,100,2.5e-05,1024,0.524,0.5469,0.524,0.5302,0.3958,0.0664,0.0106,0.0032,0.9198,0.9862,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-3,100,2.5e-05,1024,0.5178,0.5438,0.5178,0.5246,0.4038,0.064,0.0116,0.0028,0.9216,0.9856,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-4,100,2.5e-05,1024,0.5178,0.5421,0.5178,0.5236,0.4006,0.0668,0.0122,0.0026,0.9184,0.9852,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL15-5,100,2.5e-05,1024,0.5218,0.5467,0.5218,0.5276,0.4008,0.0634,0.0114,0.0026,0.9226,0.986,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-1,100,0.0001,1024,0.5052,0.5491,0.5052,0.5112,0.419,0.0632,0.011,0.0016,0.9242,0.9874,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-2,100,0.0001,1024,0.5106,0.5515,0.5106,0.5184,0.4172,0.0606,0.0098,0.0018,0.9278,0.9884,0.9982
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-3,100,0.0001,1024,0.5038,0.553,0.5038,0.5111,0.4222,0.0612,0.0114,0.0014,0.926,0.9872,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-4,100,0.0001,1024,0.5004,0.556,0.5004,0.5072,0.4252,0.0626,0.0106,0.0012,0.9256,0.9882,0.9988
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-5,100,0.0001,1024,0.5014,0.5501,0.5014,0.5096,0.4264,0.0602,0.01,0.002,0.9278,0.988,0.998
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-1,100,1e-05,1024,0.5016,0.5428,0.5016,0.5089,0.4206,0.0654,0.0114,0.001,0.9222,0.9876,0.999
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-2,100,1e-05,1024,0.503,0.5415,0.503,0.5111,0.4192,0.066,0.0102,0.0016,0.9222,0.9882,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-3,100,1e-05,1024,0.4994,0.5382,0.4994,0.5069,0.423,0.0646,0.0116,0.0014,0.9224,0.987,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-4,100,1e-05,1024,0.5012,0.5385,0.5012,0.5087,0.4204,0.0652,0.0118,0.0014,0.9216,0.9868,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-5,100,1e-05,1024,0.5038,0.543,0.5038,0.5112,0.4202,0.064,0.0106,0.0014,0.924,0.988,0.9986
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-1,100,7.5e-05,1024,0.5158,0.5564,0.5158,0.5234,0.408,0.0638,0.0108,0.0016,0.9238,0.9876,0.9984
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-OLL2-2,100,7.5e-05,1024,0.506,0.5484,0.506,0.514,0.4214,0.0606,0.0098,0.0022,0.9274,0.988,0.9978
