model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa1p5-3,34,5e-05,1024,0.6143,0.6326,0.6143,0.621,0.3307,0.0422,0.0094,0.0036,0.9449,0.9871,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa1p5-4,34,5e-05,1024,0.616,0.6351,0.616,0.6233,0.3296,0.042,0.009,0.0034,0.9456,0.9876,0.9966
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-TRIPa1p5-5,34,5e-05,1024,0.6194,0.6351,0.6194,0.6255,0.3253,0.0424,0.0093,0.0037,0.9446,0.987,0.9963
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa1p5-1,34,0.0001,1024,0.6103,0.6454,0.6103,0.6211,0.3393,0.04,0.0082,0.0021,0.9497,0.9897,0.9979
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa1p5-2,34,0.0001,1024,0.614,0.6404,0.614,0.6229,0.334,0.0412,0.0084,0.0025,0.948,0.9892,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa1p5-3,34,0.0001,1024,0.6173,0.6322,0.6173,0.6231,0.3298,0.0411,0.0091,0.0027,0.9471,0.9882,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa1p5-4,34,0.0001,1024,0.6103,0.6422,0.6103,0.6206,0.3384,0.0408,0.0082,0.0023,0.9487,0.9895,0.9977
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-TRIPa1p5-5,34,0.0001,1024,0.6172,0.6383,0.6172,0.625,0.3298,0.0424,0.0082,0.0024,0.947,0.9895,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa1p5-1,34,0.0001,1024,0.6076,0.6361,0.6076,0.6173,0.3403,0.0425,0.0076,0.002,0.9479,0.9904,0.998
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa1p5-2,34,0.0001,1024,0.6081,0.6346,0.6081,0.6171,0.3399,0.0425,0.0077,0.0019,0.948,0.9905,0.9981
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa1p5-3,34,0.0001,1024,0.6076,0.6332,0.6076,0.6164,0.3407,0.0416,0.0082,0.0019,0.9483,0.9899,0.9981
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa1p5-4,34,0.0001,1024,0.6016,0.6392,0.6016,0.6132,0.3462,0.043,0.0074,0.0018,0.9478,0.9908,0.9982
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-TRIPa1p5-5,34,0.0001,1024,0.6115,0.6335,0.6115,0.6191,0.3356,0.0429,0.0081,0.0018,0.9472,0.9901,0.9982
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa1p5-1,34,0.0001,1024,0.6079,0.5953,0.6079,0.6001,0.3295,0.05,0.0094,0.0032,0.9374,0.9874,0.9968
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa1p5-2,34,0.0001,1024,0.5972,0.5936,0.5972,0.5949,0.3382,0.0526,0.0095,0.0025,0.9354,0.988,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa1p5-3,34,0.0001,1024,0.602,0.6003,0.602,0.6008,0.3358,0.0511,0.0088,0.0023,0.9377,0.9888,0.9977
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa1p5-4,34,0.0001,1024,0.6091,0.61,0.6091,0.6094,0.3317,0.0476,0.0091,0.0025,0.9408,0.9884,0.9975
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-TRIPa1p5-5,34,0.0001,1024,0.6079,0.6074,0.6079,0.6072,0.3326,0.0474,0.0097,0.0024,0.9404,0.9878,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa1p5-1,34,7.5e-05,1024,0.6238,0.6232,0.6238,0.623,0.3153,0.0426,0.0113,0.0071,0.939,0.9817,0.9929
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa1p5-2,34,7.5e-05,1024,0.6221,0.6196,0.6221,0.6205,0.316,0.043,0.0115,0.0074,0.9381,0.9811,0.9926
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa1p5-3,34,7.5e-05,1024,0.624,0.6185,0.624,0.6203,0.313,0.0431,0.0123,0.0076,0.9369,0.9801,0.9924
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa1p5-4,34,7.5e-05,1024,0.6231,0.6221,0.6231,0.6223,0.3163,0.0419,0.0115,0.0072,0.9394,0.9813,0.9928
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-TRIPa1p5-5,34,7.5e-05,1024,0.6233,0.6195,0.6233,0.6203,0.3142,0.043,0.012,0.0075,0.9375,0.9805,0.9925
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-TRIPa1p5-1,34,7.5e-05,1024,0.6227,0.6269,0.6227,0.624,0.3174,0.0416,0.0113,0.007,0.9401,0.9817,0.993
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-TRIPa1p5-2,34,7.5e-05,1024,0.6222,0.6239,0.6222,0.6225,0.3169,0.0421,0.0116,0.0071,0.9391,0.9812,0.9929
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-TRIPa1p5-3,34,7.5e-05,1024,0.6231,0.6231,0.6231,0.6223,0.3151,0.0422,0.0121,0.0076,0.9382,0.9804,0.9924
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-TRIPa1p5-4,34,7.5e-05,1024,0.6226,0.6255,0.6226,0.6236,0.3176,0.0412,0.0112,0.0073,0.9402,0.9814,0.9927
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-TRIPa1p5-5,34,7.5e-05,1024,0.6235,0.6242,0.6235,0.6229,0.3155,0.0418,0.0119,0.0074,0.939,0.9807,0.9926
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-TRIPa1p5-1,34,0.0001,1024,0.6262,0.6384,0.6262,0.631,0.3179,0.0391,0.0104,0.0064,0.9441,0.9831,0.9936
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-TRIPa1p5-2,34,0.0001,1024,0.6319,0.637,0.6319,0.6336,0.3122,0.0384,0.0109,0.0065,0.9441,0.9825,0.9935
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-TRIPa1p5-3,34,0.0001,1024,0.6277,0.6347,0.6277,0.6305,0.3144,0.0401,0.0112,0.0065,0.9421,0.9822,0.9935
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-TRIPa1p5-4,34,0.0001,1024,0.6245,0.6359,0.6245,0.6292,0.319,0.0396,0.0104,0.0066,0.9435,0.983,0.9934
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-TRIPa1p5-5,34,0.0001,1024,0.6281,0.6368,0.6281,0.6317,0.3146,0.0398,0.0109,0.0066,0.9427,0.9825,0.9934
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-TRIPa1p5-1,34,7.5e-05,1024,0.6214,0.6396,0.6214,0.6276,0.3259,0.038,0.0096,0.0051,0.9473,0.9853,0.9949
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-TRIPa1p5-2,34,7.5e-05,1024,0.6187,0.6213,0.6187,0.6196,0.3211,0.0429,0.0109,0.0063,0.9398,0.9827,0.9937
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-TRIPa1p5-3,34,7.5e-05,1024,0.6289,0.6361,0.6289,0.6316,0.3166,0.039,0.0099,0.0056,0.9455,0.9845,0.9944
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-TRIPa1p5-4,34,7.5e-05,1024,0.6228,0.6375,0.6228,0.6279,0.3238,0.0384,0.0099,0.0051,0.9466,0.985,0.9949
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-TRIPa1p5-5,34,7.5e-05,1024,0.6261,0.6371,0.6261,0.6297,0.3192,0.039,0.0102,0.0055,0.9453,0.9843,0.9945
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-TRIPa1p5-1,34,0.0001,1024,0.6125,0.6403,0.6125,0.622,0.3359,0.0404,0.0084,0.0027,0.9484,0.9889,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-TRIPa1p5-2,34,0.0001,1024,0.6129,0.6385,0.6129,0.6219,0.3354,0.0404,0.0084,0.0028,0.9483,0.9887,0.9972
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-TRIPa1p5-3,34,0.0001,1024,0.6173,0.6377,0.6173,0.6249,0.3307,0.0402,0.0088,0.003,0.948,0.9882,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-TRIPa1p5-4,34,0.0001,1024,0.6178,0.6356,0.6178,0.6246,0.3299,0.0405,0.0088,0.0029,0.9477,0.9882,0.9971
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-TRIPa1p5-5,34,0.0001,1024,0.6149,0.6357,0.6149,0.6226,0.3333,0.0406,0.0083,0.0029,0.9483,0.9888,0.9971
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-TRIPa1p5-1,34,0.005,1024,0.2336,0.1161,0.2336,0.1502,0.5443,0.1461,0.076,0.0002,0.7779,0.924,0.9998
